"","Position","Height","Playtype","Name","Rating","Team"
"36","SF","6'5""","Prospect","Rodney Buford",71,"2000-01 Philadelphia 76ers"
"37","SF","6'8""","Scrappy Wing","Jumaine Jones",71,"2000-01 Philadelphia 76ers"
"38","PG","6'4""","Tempo-Pushing Guard","Pepe Sanchez",70,"2000-01 Philadelphia 76ers"
"39","C","7'1""","Paint Protector","Matt Geiger",69,"2000-01 Philadelphia 76ers"
"40","SF","6'8""","Perimeter Defender","Roshown McLeod",68,"2000-01 Philadelphia 76ers"
"41","C","7'0""","Glass Cleaner","Todd MacCulloch",68,"2000-01 Philadelphia 76ers"
"42","SG","6'6""","3PT Specialist","Raja Bell",66,"2000-01 Philadelphia 76ers"
"43","C / PF","6'10""","2-Way Inside-the-Arc Scorer","Moses Malone",97,"All-Time Philadelphia 76ers"
"44","SG / PG","6'0""","All-Around Threat","Allen Iverson",96,"All-Time Philadelphia 76ers"
"45","SF / SG","6'7""","2-Way Slashing Point Forward","Julius Erving",94,"All-Time Philadelphia 76ers"
"46","PF / C","6'8""","2-Way 3-Level Shot Creator","Dolph Schayes",94,"All-Time Philadelphia 76ers"
"47","SF / PF","6'6""","2-Way Point Forward","Billy Cunningham",93,"All-Time Philadelphia 76ers"
"48","C / SF","7'1""","Paint Beast","Wilt Chamberlain",93,"All-Time Philadelphia 76ers"
"49","C","7'0""","2-Way 3-Level Scorer","Joel Embiid",92,"All-Time Philadelphia 76ers"
"50","SF / PF","6'9""","2-Way Inside-the-Arc Scorer","Bobby Jones (Robert Clyde)",90,"All-Time Philadelphia 76ers"
"51","PG / SG","6'2""","All-Around Threat","Hal Greer",88,"All-Time Philadelphia 76ers"
"52","SF / PF","6'6""","2-Way 3-Level Point Forward","Andre Iguodala",88,"All-Time Philadelphia 76ers"
"53","SG / PG","6'3""","2-Way Diming 3-Level Scorer","Hersey Hawkins",87,"All-Time Philadelphia 76ers"
"54","SG / SF","6'6""","2-Way 3-Level Scorer","Doug Collins",87,"All-Time Philadelphia 76ers"
"55","PF / C","6'8""","2-Way Inside-the-Arc Scorer","George McGinnis",87,"All-Time Philadelphia 76ers"
"56","PG / PF","6'10""","2-Way Slashing Playmaker","Ben Simmons",86,"All-Time Philadelphia 76ers"
"57","PG / SG","6'1""","2-Way Slashing Playmaker","Maurice Cheeks",86,"All-Time Philadelphia 76ers"
"58","PF / C","7'0""","2-Way Slashing Playmaker","Giannis Antetokounmpo",97,"Milwaukee Bucks"
"59","PG / SG","6'5""","All-Around Threat","Jrue Holiday",88,"Milwaukee Bucks"
"60","SF / PF","6'7""","2-Way 3-Level Point Forward","Khris Middleton",86,"Milwaukee Bucks"
"61","C","7'1""","2-Way 3-Level Scorer","Brook Lopez",85,"Milwaukee Bucks"
"62","C / PF","6'11""","3-Level Scoring Glass Cleaner","Bobby Portis",82,"Milwaukee Bucks"
"63","PF / SF","6'6""","Stretch Four","Jae Crowder",78,"Milwaukee Bucks"
"64","SF / SG","6'9""","2-Way Inside-Out Scorer","Joe Ingles",76,"Milwaukee Bucks"
"65","SF / SG","6'5""","Inside-Out Scorer","Pat Connaughton",75,"Milwaukee Bucks"
"66","SG","6'4""","Inside-Out Scorer","Grayson Allen",75,"Milwaukee Bucks"
"67","SG / PG","6'1""","2-Way Sharpshooter","Jevon Carter",75,"Milwaukee Bucks"
"68","PG","6'4""","Playmaking Shot Creator","Goran Dragic",73,"Milwaukee Bucks"
"69","SG / SF","6'5""","3PT Shooter","Wesley Matthews",72,"Milwaukee Bucks"
"70","SG / SF","6'7""","Shooter","MarJon Beauchamp",72,"Milwaukee Bucks"
"71","PF / C","7'0""","Stretch Glass Cleaner","Meyers Leonard",72,"Milwaukee Bucks"
"72","PF / SF","6'7""","Interior Finisher","Thanasis Antetokounmpo",72,"Milwaukee Bucks"
"73","SG","6'5""","Shooter","A.J. Green",71,"Milwaukee Bucks"
"74","PG","6'1""","3PT Shooter","Lindell Wigginton",70,"Milwaukee Bucks"
"75","C / PF","7'2""","2-Way Inside-the-Arc Scorer","Kareem Abdul-Jabbar",98,"1970-71 Milwaukee Bucks"
"76","PG / SG","6'5""","2-Way Playshot","Oscar Robertson",93,"1970-71 Milwaukee Bucks"
"77","SF / SG","6'6""","2-Way 3-Level Scorer","Bob Dandridge",85,"1970-71 Milwaukee Bucks"
"78","PG / SG","6'2""","Inside the Arc Playmaker","Lucius Allen",77,"1970-71 Milwaukee Bucks"
"79","PF / SF","6'5""","Paint Protector","Greg Smith",75,"1970-71 Milwaukee Bucks"
"80","SG / PF","6'5""","Sharpshooter","Jon McGlocklin",74,"1970-71 Milwaukee Bucks"
"81","C / PF","6'10""","Glass Cleaner","Dick Cunningham",72,"1970-71 Milwaukee Bucks"
"82","SG / PG","6'3""","2-Way Inside-the-Arc Maestro","Sidney Moncrief",91,"1984-85 Milwaukee Bucks"
"83","PF / C","6'9""","Paint Beast","Terry Cummings",88,"1984-85 Milwaukee Bucks"
"84","SG / SF","6'5""","2-Way Interior Finisher","Paul Pressey",86,"1984-85 Milwaukee Bucks"
"85","C / PF","7'0""","Defensive Anchor","Alton Lister",79,"1984-85 Milwaukee Bucks"
"86","SF / SG","6'4""","Inside the Arc Scorer","Ricky Pierce",76,"1984-85 Milwaukee Bucks"
"87","PG / SG","6'3""","Diming Outside Scorer","Mike Dunleavy",74,"1984-85 Milwaukee Bucks"
"88","SF","6'5""","Shooter","Kevin Grevey",73,"1984-85 Milwaukee Bucks"
"89","C / PF","7'3""","Glass Cleaner","Randy Breuer",73,"1984-85 Milwaukee Bucks"
"90","PG / SG","6'2""","Shooter","Craig Hodges",73,"1984-85 Milwaukee Bucks"
"91","SF / PF","6'7""","Mid-Range Shooter","Charles Davis",72,"1984-85 Milwaukee Bucks"
"92","SF","6'5""","Perimeter Defender","Kenny Fields",69,"1984-85 Milwaukee Bucks"
"93","C / PF","7'0""","Paint Protector","Paul Mokeski",66,"1984-85 Milwaukee Bucks"
"94","C / PF","7'2""","2-Way Inside-the-Arc Scorer","Kareem Abdul-Jabbar",99,"All-Time Milwaukee Bucks"
"95","PG / SG","6'5""","2-Way Playshot","Oscar Robertson",96,"All-Time Milwaukee Bucks"
"96","SF / SG","6'11""","2-Way Slashing Point Forward","Giannis Antetokounmpo",96,"All-Time Milwaukee Bucks"
"97","SG / PG","6'3""","2-Way Slashing Combo Guard","Sidney Moncrief",93,"All-Time Milwaukee Bucks"
"98","SF / SG","6'7""","2-Way Slashing Point Forward","Marques Johnson",92,"All-Time Milwaukee Bucks"
"99","SG / PF","6'5""","2-Way 3-Level Scorer","Ray Allen",91,"All-Time Milwaukee Bucks"
"100","SF / SG","6'6""","2-Way Diming 3-Level Scorer","Bob Dandridge",88,"All-Time Milwaukee Bucks"
"101","SG / SF","6'6""","3-Level Scorer","Michael Redd",88,"All-Time Milwaukee Bucks"
"102","SF / SG","6'7""","2-Way 3-Level Scorer","Khris Middleton",88,"All-Time Milwaukee Bucks"
"103","PF","6'10""","2-Way Inside-the-Arc Scorer","Vin Baker",87,"All-Time Milwaukee Bucks"
"104","SF / SG","6'5""","2-Way 3-Level Point Forward","Junior Bridgeman",87,"All-Time Milwaukee Bucks"
"105","PF / C","6'9""","2-Way Inside-the-Arc Scorer","Terry Cummings",87,"All-Time Milwaukee Bucks"
"106","SF","6'7""","One of a Kind","Glenn Robinson",87,"All-Time Milwaukee Bucks"
"107","SG","6'4""","2-Way Diming Sharpshooter","Brian Winters",86,"All-Time Milwaukee Bucks"
"108","SG / SF","6'5""","2-Way Diming Finisher","Paul Pressey",84,"All-Time Milwaukee Bucks"
"109","SG / SF","6'5""","Versatile Offensive Force","Zach LaVine",87,"Chicago Bulls"
"110","SG / SF","6'6""","Playmaking 3-Level Scorer","DeMar DeRozan",87,"Chicago Bulls"
"111","C","6'10""","3-Level Scorer","Nikola Vucevic",84,"Chicago Bulls"
"112","PG / SG","6'6""","2-Way 3PT Playmaker","Lonzo Ball",82,"Chicago Bulls"
"113","C","6'11""","Paint Beast","Andre Drummond",78,"Chicago Bulls"
"114","SF / PF","6'7""","Stretch Four","Patrick Williams",77,"Chicago Bulls"
"115","SG / SF","6'5""","2-Way Inside-Out Scorer","Javonte Green",77,"Chicago Bulls"
"116","PG / SG","6'1""","3 & D Point","Patrick Beverley",76,"Chicago Bulls"
"117","PG / SG","6'5""","3 & D Two Guard","Alex Caruso",76,"Chicago Bulls"
"118","PG / SG","6'4""","Inside-Out Shot Creator","Coby White",76,"Chicago Bulls"
"119","SF / PF","6'6""","Inside-Out Scorer","Derrick Jones Jr.",76,"Chicago Bulls"
"120","PG / SG","6'5""","Inside the Arc Scorer","Ayo Dosunmu",74,"Chicago Bulls"
"121","SG / SF","6'5""","Rebounder","Terry Taylor",74,"Chicago Bulls"
"122","SF / SG","6'7""","Interior Finisher","Dalen Terry",73,"Chicago Bulls"
"123","C / PF","7'0""","Rebounder","Marko Simonović",70,"Chicago Bulls"
"124","SF / PF","6'7""","Lob Threat","Justin Lewis",67,"Chicago Bulls"
"125","PG","6'1""","Tempo-Pushing Point","Carlik Jones",67,"Chicago Bulls"
"126","SG / SF","6'6""","2-Way Slasher","Michael Jordan",92,"1985-86 Chicago Bulls"
"127","PF / C","6'9""","Defensive Anchor","Charles Oakley",83,"1985-86 Chicago Bulls"
"128","SF / SG","6'7""","Inside the Arc Scorer","George Gervin",82,"1985-86 Chicago Bulls"
"129","PF / C","6'9""","Defensive Anchor","Sidney Green",79,"1985-86 Chicago Bulls"
"130","SF","6'7""","Hybrid Defender","Gene Banks",77,"1985-86 Chicago Bulls"
"131","PG / SG","6'3""","3PT Specialist","Kyle Macy",72,"1985-86 Chicago Bulls"
"132","PG / SG","6'2""","Mid-Range Shooter","John Paxson",70,"1985-86 Chicago Bulls"
"133","SF / PF","6'7""","Prospect","Rod Higgins",70,"1985-86 Chicago Bulls"
"134","PG","6'4""","2-Way Floor General","Mike Holton",70,"1985-86 Chicago Bulls"
"135","C / PF","6'11""","Paint Protector","Dave Corzine",69,"1985-86 Chicago Bulls"
"136","SG / SF","6'6""","2-Way Slashing Combo Guard","Michael Jordan",98,"1988-89 Chicago Bulls"
"137","SF / SG","6'8""","2-Way Interior Finisher","Scottie Pippen",82,"1988-89 Chicago Bulls"
"138","PF / C","6'10""","2-Way Interior Finisher","Horace Grant",82,"1988-89 Chicago Bulls"
"139","C / PF","7'1""","Paint Protector","Bill Cartwright",75,"1988-89 Chicago Bulls"
"140","PG / SG","6'2""","Diming Outside Scorer","John Paxson",75,"1988-89 Chicago Bulls"
"141","PG / SG","6'2""","Shooter","Craig Hodges",75,"1988-89 Chicago Bulls"
"142","PG / SG","6'2""","Diming Inside the Arc Scorer","Sam Vincent",74,"1988-89 Chicago Bulls"
"143","C / PF","6'11""","Glass Cleaner","Dave Corzine",73,"1988-89 Chicago Bulls"
"144","PF / SF","6'7""","Paint Protector","Charles Davis",70,"1988-89 Chicago Bulls"
"145","SF / PF","7'0""","Paint Protector","Brad Sellers",69,"1988-89 Chicago Bulls"
"146","C / PF","7'0""","Glass Cleaner","Will Perdue",68,"1988-89 Chicago Bulls"
"147","PF","6'10""",NA,"Jack Haley",NA,"1988-89 Chicago Bulls"
"148","SG / SF","6'6""","2-Way Slashing Combo Guard","Michael Jordan",99,"1990-91 Chicago Bulls"
"149","SF / SG","6'8""","2-Way Point Forward","Scottie Pippen",89,"1990-91 Chicago Bulls"
"150","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Horace Grant",82,"1990-91 Chicago Bulls"
"151","PG / SG","6'2""","2-Way Diming Sharpshooter","John Paxson",78,"1990-91 Chicago Bulls"
"152","PG / SG","6'2""","Diming Outside Scorer","B.J. Armstrong",75,"1990-91 Chicago Bulls"
"153","C","6'11""","Paint Protector","Stacey King",74,"1990-91 Chicago Bulls"
"154","C / PF","7'1""","Paint Protector","Bill Cartwright",74,"1990-91 Chicago Bulls"
"155","PF / C","6'10""","Glass Cleaner","Scott Williams",73,"1990-91 Chicago Bulls"
"156","C / PF","7'0""","Defensive Anchor","Will Perdue",72,"1990-91 Chicago Bulls"
"157","SF","6'5""","Pass-First Wing","Dennis Hopson",72,"1990-91 Chicago Bulls"
"158","PG / SG","6'2""","Shooter","Craig Hodges",72,"1990-91 Chicago Bulls"
"159","PF / C","6'8""","Paint Protector","Cliff Levingston",69,"1990-91 Chicago Bulls"
"160","SG / SF","6'6""","2-Way Playshot","Michael Jordan",99,"1992-93 Chicago Bulls"
"161","SF / SG","6'8""","2-Way Point Forward","Scottie Pippen",94,"1992-93 Chicago Bulls"
"162","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Horace Grant",83,"1992-93 Chicago Bulls"
"163","PG / SG","6'2""","Playmaking Sharpshooter","B.J. Armstrong",79,"1992-93 Chicago Bulls"
"164","C / PF","7'1""","Paint Protector","Bill Cartwright",74,"1992-93 Chicago Bulls"
"165","SF / PF","6'7""","Hybrid Defender","Rodney McCray",74,"1992-93 Chicago Bulls"
"166","C","6'11""","Defensive Anchor","Stacey King",73,"1992-93 Chicago Bulls"
"167","C / PF","7'0""","Defensive Anchor","Will Perdue",73,"1992-93 Chicago Bulls"
"168","PF / C","6'10""","Glass Cleaner","Scott Williams",73,"1992-93 Chicago Bulls"
"169","PG / SG","6'2""","Sharpshooter","John Paxson",72,"1992-93 Chicago Bulls"
"170","PG","6'4""","Tempo-Pushing Point","Darrell Walker",68,"1992-93 Chicago Bulls"
"171","PF / SF","6'7""","Paint Protector","Ed Nealy",66,"1992-93 Chicago Bulls"
"172","SG / SF","6'6""","All-Around Threat","Michael Jordan",99,"1995-96 Chicago Bulls"
"173","SG / SF","6'8""","2-Way 3-Level Point Forward","Scottie Pippen",96,"1995-96 Chicago Bulls"
"174","PF / SF","6'7""","Defensive Anchor","Dennis Rodman",89,"1995-96 Chicago Bulls"
"175","SF / PF","6'10""","Sharpshooter","Toni Kukoc",83,"1995-96 Chicago Bulls"
"176","PG / SG","6'6""","Perimeter Lockdown","Ron Harper",80,"1995-96 Chicago Bulls"
"177","PG / SG","6'3""","Sharpshooter","Steve Kerr",79,"1995-96 Chicago Bulls"
"178","C / PF","7'2""","Paint Protector","Luc Longley",75,"1995-96 Chicago Bulls"
"179","PG","6'2""","Perimeter Lockdown","Randy Brown",74,"1995-96 Chicago Bulls"
"180","PF","6'8""","Paint Protector","Jason Caffey",71,"1995-96 Chicago Bulls"
"181","SF / SG","6'6""","3PT Specialist","Jud Buechler",71,"1995-96 Chicago Bulls"
"182","PF / C","6'11""","Paint Protector","John Salley",69,"1995-96 Chicago Bulls"
"183","PF / C","6'9""","Paint Protector","Dickey Simpkins",69,"1995-96 Chicago Bulls"
"184","C / PF","7'0""","Paint Protector","Bill Wennington",67,"1995-96 Chicago Bulls"
"185","C / PF","7'0""","Paint Protector","James Edwards",66,"1995-96 Chicago Bulls"
"186","SG / SF","6'6""","2-Way Playshot","Michael Jordan",98,"1997-98 Chicago Bulls"
"187","SF / SG","6'8""","2-Way 3-Level Point Forward","Scottie Pippen",90,"1997-98 Chicago Bulls"
"188","PF / C","6'8""","Glass-Cleaning Lockdown","Dennis Rodman",85,"1997-98 Chicago Bulls"
"189","SF / PF","6'11""","Playmaking Shot Creator","Toni Kukoc",83,"1997-98 Chicago Bulls"
"190","PG / SG","6'6""","Perimeter Lockdown","Ron Harper",80,"1997-98 Chicago Bulls"
"191","C / PF","7'2""","Defensive Anchor","Luc Longley",78,"1997-98 Chicago Bulls"
"192","SF","6'7""","3PT Shooter","Scott Burrell",75,"1997-98 Chicago Bulls"
"193","PG","6'2""","Perimeter Lockdown","Randy Brown",74,"1997-98 Chicago Bulls"
"194","PG / SG","6'3""","Sharpshooter","Steve Kerr",73,"1997-98 Chicago Bulls"
"195","PF / C","6'9""","Paint Protector","Dickey Simpkins",68,"1997-98 Chicago Bulls"
"196","SF / SG","6'6""","3PT Specialist","Jud Buechler",68,"1997-98 Chicago Bulls"
"197","C / PF","7'0""","Paint Protector","Bill Wennington",66,"1997-98 Chicago Bulls"
"198","PG","6'3""","Offensive Threat","Derrick Rose",95,"2010-11 Chicago Bulls"
"199","PF","6'9""","2-Way Inside-the-Arc Scorer","Carlos Boozer",86,"2010-11 Chicago Bulls"
"200","C","6'11""","Defensive Anchor","Joakim Noah",86,"2010-11 Chicago Bulls"
"201","PF / C","6'9""","2-Way Inside-the-Arc Scorer","Taj Gibson",78,"2010-11 Chicago Bulls"
"202","SG / SF","6'7""","Diming Sharpshooter","Kyle Korver",76,"2010-11 Chicago Bulls"
"203","SG","6'7""","3 & D Two Guard","Ronnie Brewer",76,"2010-11 Chicago Bulls"
"204","PG","6'2""","3 & D Point","C.J. Watson",75,"2010-11 Chicago Bulls"
"205","C","7'0""","Glass Cleaner","Omer Asik",74,"2010-11 Chicago Bulls"
"206","PF","6'9""","Paint Protector","Kurt Thomas",73,"2010-11 Chicago Bulls"
"207","PF / SF","6'9""","Mid-Range Specialist","Brian Scalabrine",70,"2010-11 Chicago Bulls"
"208","SG","6'5""","Inside-Out Scorer","Keith Bogans",69,"2010-11 Chicago Bulls"
"209","PG","5'11""",NA,"John Lucas III",NA,"2010-11 Chicago Bulls"
"210","SG / SF","6'6""","All-Around Threat","Michael Jordan",99,"All-Time Chicago Bulls"
"211","SF / SG","6'8""","2-Way 3-Level Point Forward","Scottie Pippen",97,"All-Time Chicago Bulls"
"212","PG","6'3""","2-Way Playshot","Derrick Rose",95,"All-Time Chicago Bulls"
"213","PF / SF","6'7""","Defensive Anchor","Dennis Rodman",93,"All-Time Chicago Bulls"
"214","C","7'2""","2-Way Inside-the-Arc Scorer","Artis Gilmore",93,"All-Time Chicago Bulls"
"215","SG / SF","6'7""","2-Way Diming Inside-Out Scorer","Jimmy Butler",91,"All-Time Chicago Bulls"
"216","SG / SF","6'5""","2-Way Inside-the-Arc Scorer","Jerry Sloan",89,"All-Time Chicago Bulls"
"217","PF / SF","6'8""","2-Way Inside-the-Arc Scorer","Bob Love",89,"All-Time Chicago Bulls"
"218","PG / SG","6'2""","Versatile Offensive Force","B.J. Armstrong",87,"All-Time Chicago Bulls"
"219","C","6'11""","Defensive Anchor","Joakim Noah",87,"All-Time Chicago Bulls"
"220","PG / SG","6'7""","2-Way Slashing Playmaker","Reggie Theus",86,"All-Time Chicago Bulls"
"221","SG / SF","6'6""","Scoring Machine","Zach LaVine",86,"All-Time Chicago Bulls"
"222","SF / PF","6'10""","2-Way Diming Sharpshooter","Toni Kukoc",85,"All-Time Chicago Bulls"
"223","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Horace Grant",85,"All-Time Chicago Bulls"
"224","PG / SG","6'4""","2-Way Playshot","Kirk Hinrich",82,"All-Time Chicago Bulls"
"225","SG / PG","6'1""","Versatile Offensive Force","Donovan Mitchell",92,"Cleveland Cavaliers"
"226","PG","6'1""","Offensive Threat","Darius Garland",87,"Cleveland Cavaliers"
"227","PF / C","6'11""","2-Way Inside-the-Arc Scorer","Evan Mobley",86,"Cleveland Cavaliers"
"228","C","6'10""","Paint Beast","Jarrett Allen",84,"Cleveland Cavaliers"
"229","SG / SF","6'6""","Inside-Out Shot Creator","Caris LeVert",77,"Cleveland Cavaliers"
"230","SF / SG","6'5""","2-Way Inside-Out Scorer","Isaac Okoro",76,"Cleveland Cavaliers"
"231","PG","6'2""","2-Way Playmaker","Ricky Rubio",75,"Cleveland Cavaliers"
"232","SF / PF","6'7""","Inside-Out Scorer","Cedi Osman",75,"Cleveland Cavaliers"
"233","C","7'0""","Back-To-Basket Big","Robin Lopez",74,"Cleveland Cavaliers"
"234","PG / SG","6'2""","Inside the Arc Scorer","Raul Neto",74,"Cleveland Cavaliers"
"235","SF / SG","6'6""","2-Way Shooter","Danny Green",73,"Cleveland Cavaliers"
"236","PF / SF","6'6""","Inside the Arc Scorer","Lamar Stevens",73,"Cleveland Cavaliers"
"237","PF","6'9""","Stretch Four","Dean Wade",73,"Cleveland Cavaliers"
"238","SG / SF","6'6""","Shooter","Dylan Windler",71,"Cleveland Cavaliers"
"239","PG / SG","6'4""","Shooter","Sam Merrill",71,"Cleveland Cavaliers"
"240","PF","6'8""","Paint Protector","Isaiah Mobley",70,"Cleveland Cavaliers"
"241","C / PF","6'9""","Paint Protector","Mamadi Diakite",69,"Cleveland Cavaliers"
"242","PG / SG","6'0""","Playmaking Shot Creator","Mark Price",89,"1989-90 Cleveland Cavaliers"
"243","C / PF","7'0""","Inside the Arc Glass Cleaner","Brad Daugherty",85,"1989-90 Cleveland Cavaliers"
"244","SF / PF","6'10""","2-Way Interior Finisher","Larry Nance",85,"1989-90 Cleveland Cavaliers"
"245","PF / C","6'11""","Glass Cleaner","Hot Rod Williams",82,"1989-90 Cleveland Cavaliers"
"246","SG / SF","6'6""","2-Way Sharpshooter","Craig Ehlo",79,"1989-90 Cleveland Cavaliers"
"247","PG / SG","6'3""","Sharpshooter","Steve Kerr",76,"1989-90 Cleveland Cavaliers"
"248","SF","6'7""","Perimeter Defender","Winston Bennett",75,"1989-90 Cleveland Cavaliers"
"249","SF / PF","6'9""","Scrappy Wing","Chucky Brown",71,"1989-90 Cleveland Cavaliers"
"250","C / PF","7'1""","Paint Protector","Tree Rollins",68,"1989-90 Cleveland Cavaliers"
"251","C / PF","7'0""","Paint Protector","Paul Mokeski",64,"1989-90 Cleveland Cavaliers"
"252","SF","6'8""","All-Around Threat","LeBron James",97,"2006-07 Cleveland Cavaliers"
"253","C","7'3""","2-Way Inside-the-Arc Scorer","Zydrunas Ilgauskas",83,"2006-07 Cleveland Cavaliers"
"254","SG / PG","6'5""","All-Around Threat","Larry Hughes",82,"2006-07 Cleveland Cavaliers"
"255","C / PF","6'11""","Mid-Range Specialist","Anderson Varejao",77,"2006-07 Cleveland Cavaliers"
"256","PF / SF","6'9""","Stretch Four","Donyell Marshall",76,"2006-07 Cleveland Cavaliers"
"257","PF / C","6'10""","Mid-Range Specialist","Drew Gooden",76,"2006-07 Cleveland Cavaliers"
"258","PG / SG","6'2""","2-Way Sharpshooter","Daniel Gibson",75,"2006-07 Cleveland Cavaliers"
"259","PG / SG","6'3""","Sharpshooter","Damon Jones",74,"2006-07 Cleveland Cavaliers"
"260","C","6'11""","Mid-Range Shooter","Scot Pollard",73,"2006-07 Cleveland Cavaliers"
"261","PG","6'3""",NA,"Eric Snow",73,"2006-07 Cleveland Cavaliers"
"262","SG","6'0""","Inside-Out Scorer","David Wesley",71,"2006-07 Cleveland Cavaliers"
"263","SG","6'4""","Athletic Finisher","Shannon Brown",66,"2006-07 Cleveland Cavaliers"
"264","SF / PF","6'8""","2-Way 3-Level Point Forward","LeBron James",99,"2015-16 Cleveland Cavaliers"
"265","PG / SG","6'3""","Versatile Offensive Force","Kyrie Irving",93,"2015-16 Cleveland Cavaliers"
"266","PF / C","6'10""","3-Level Scoring Glass Cleaner","Kevin Love",87,"2015-16 Cleveland Cavaliers"
"267","SG / SF","6'6""","Shooter","J.R. Smith",80,"2015-16 Cleveland Cavaliers"
"268","C","6'10""","Defensive Anchor","Tristan Thompson",79,"2015-16 Cleveland Cavaliers"
"269","PG / SG","6'4""","Diming 3 & D Point","Matthew Dellavedova",76,"2015-16 Cleveland Cavaliers"
"270","SF / SG","6'7""","Inside-Out Scorer","Richard Jefferson",75,"2015-16 Cleveland Cavaliers"
"271","PG","6'1""","Diming 3-Level Scorer","Mo Williams",74,"2015-16 Cleveland Cavaliers"
"272","C","7'0""","Stretch Five","Channing Frye",74,"2015-16 Cleveland Cavaliers"
"273","SF","6'6""","Perimeter Lockdown","Dahntay Jones",72,"2015-16 Cleveland Cavaliers"
"274","SG / SF","6'5""","3PT Specialist","Jordan McRae",70,"2015-16 Cleveland Cavaliers"
"275","SF / PF","6'8""","2-Way 3-Level Point Forward","LeBron James",99,"All-Time Cleveland Cavaliers"
"276","PG / SG","6'3""","Versatile Offensive Force","Kyrie Irving",94,"All-Time Cleveland Cavaliers"
"277","PG / SG","6'0""","All-Around Threat","Mark Price",93,"All-Time Cleveland Cavaliers"
"278","C / PF","7'0""","2-Way Inside-the-Arc Scorer","Brad Daugherty",90,"All-Time Cleveland Cavaliers"
"279","SF / PF","6'10""","2-Way Inside-the-Arc Scorer","Larry Nance",88,"All-Time Cleveland Cavaliers"
